Staper,Fresgn,Datasgn,Provsgn,Provnm,Epim0301,Epim0302,Epim0303,Epim0304,Epim0305,Epim0306
Jan-09,M,A,530000,云南省,101.9,102.4,101.2,101.9,101.7,102.1
Jan-09,M,B,220000,吉林省,100.8,,,100.4,,
Jan-09,M,A,142,中国,101,100.7,101.5,100.7,100.5,101
Jan-09,M,B,110000,北京市,100.7,,,100.6,,
Jan-09,M,B,310000,上海市,101.7,,,101.9,,
Jan-09,M,A,310000,上海市,101.7,101.7,,101.9,101.9,
Jan-09,M,A,420000,湖北省,101.2,100.5,102.3,100.2,99.8,100.8
Jan-09,M,B,142,中国,101,100.7,101.5,100.7,100.5,101
Jan-09,M,B,530000,云南省,101.9,,,101.9,,
Jan-09,M,B,370000,山东省,101.2,,,100.7,,
Jan-09,M,A,320000,江苏省,101.4,101.3,101.5,101,101.3,100.4
Jan-09,M,B,130000,河北省,100.6,,,100.7,,
Jan-09,M,A,460000,海南省,102.5,102.4,102.7,101.3,101.8,100.2
Jan-09,M,A,210000,辽宁省,99.2,99.4,98.6,99.5,99.7,98.5
Jan-09,M,B,460000,海南省,102.5,,,101.3,,
Jan-09,M,B,510000,四川省,102.7,,,102.5,,
Jan-09,M,A,220000,吉林省,100.8,100.5,101.8,100.4,100,101.8
Jan-09,M,A,120000,天津市,101.3,101.3,,101.1,101.1,
Jan-09,M,B,620000,甘肃省,103.3,,,103.8,,
Jan-09,M,B,440000,广东省,100.9,,,99.7,,
Jan-09,M,B,210000,辽宁省,99.2,,,99.5,,
Jan-09,M,A,640000,宁夏,102.2,101.8,103,102.2,101.6,103.9
Jan-09,M,B,630000,青海省,104.6,,,104.6,,
Jan-09,M,B,350000,福建省,99.4,,,100.1,,
Jan-09,M,A,150000,内蒙古自治区,100.2,100,100.5,99.5,98.9,100.8
Jan-09,M,A,370000,山东省,101.2,100.8,102,100.7,100.5,101.1
Jan-09,M,B,320000,江苏省,101.4,,,101,,
Jan-09,M,B,450000,广西,100.2,,,100.4,,
Jan-09,M,A,130000,河北省,100.6,99.5,102.7,100.7,99.8,101.5
Jan-09,M,A,110000,北京市,100.7,100.7,,100.6,100.6,
Jan-09,M,A,610000,陕西省,101.2,100.2,103.6,100.7,100.1,102
Jan-09,M,B,650000,新疆,101.8,,,101.5,,
Jan-09,M,A,650000,新疆,101.8,101.2,103,101.5,101.2,102.3
Jan-09,M,A,330000,浙江省,99.2,99.3,99.2,100.1,100.2,99.8
Jan-09,M,B,330000,浙江省,99.2,,,100.1,,
Jan-09,M,B,120000,天津市,101.3,,,101.1,,
Jan-09,M,B,540000,西藏自治区,100.5,,,98.8,,
Jan-09,M,A,520000,贵州省,100.7,100.3,101.6,100.2,99.4,101.3
Jan-09,M,B,610000,陕西省,101.2,,,100.7,,
Jan-09,M,A,430000,湖南省,102.1,102,102.3,100.9,99.9,102.4
Jan-09,M,A,450000,广西,100.2,100.1,100.8,100.4,100.4,100.3
Jan-09,M,A,340000,安徽省,100.5,99.9,101.7,100.7,100.1,101.6
Jan-09,M,B,340000,安徽省,100.5,,,100.7,,
Jan-09,M,A,440000,广东省,100.9,101.1,99.9,99.7,99.8,99.5
Jan-09,M,A,630000,青海省,104.6,104.1,105.6,104.6,104.5,104.8
Jan-09,M,B,140000,山西省,100.5,,,100.5,,
Jan-09,M,B,410000,河南省,101.2,,,101.8,,
Jan-09,M,B,500000,重庆市,100,,,99.3,,
Jan-09,M,A,620000,甘肃省,103.3,102.7,104.6,103.8,103.2,104.9
Jan-09,M,A,230000,黑龙江省,100.2,99.8,101.6,99.8,99.2,101.5
Jan-09,M,B,230000,黑龙江省,100.2,,,99.8,,
Jan-09,M,A,360000,江西省,101.5,101.4,101.5,101.8,101.9,101.6
Jan-09,M,B,640000,宁夏,102.2,,,102.2,,
Jan-09,M,A,410000,河南省,101.2,100.1,102.9,101.8,101.8,101.7
Jan-09,M,B,420000,湖北省,101.2,,,100.2,,
Jan-09,M,B,520000,贵州省,100.7,,,100.2,,
Jan-09,M,A,140000,山西省,100.5,99.9,102.2,100.5,100.3,100.9
Jan-09,M,B,150000,内蒙古自治区,100.2,,,99.5,,
Jan-09,M,A,510000,四川省,102.7,102.2,103.3,102.5,102.1,102.8
Jan-09,M,A,500000,重庆市,100,100,,99.3,99.3,
Jan-09,M,A,350000,福建省,99.4,99.5,99.2,100.1,100.3,99.7
Jan-09,M,B,360000,江西省,101.5,,,101.8,,
Jan-09,M,A,540000,西藏自治区,100.5,100.2,101.2,98.8,98.5,99.5
Jan-09,M,B,430000,湖南省,102.1,,,100.9,,
Feb-09,M,B,230000,黑龙江省,99.8,,,99.3,,
Feb-09,M,B,220000,吉林省,100,,,99.5,,
Feb-09,M,A,142,中国,98.4,98.1,99.2,98.4,98.3,98.6
Feb-09,M,B,110000,北京市,99.8,,,100,,
Feb-09,M,A,140000,山西省,98.2,97.2,101,98.2,97.6,99.4
Feb-09,M,B,530000,云南省,100.8,,,100.9,,
Feb-09,M,B,420000,湖北省,100.1,,,99.1,,
Feb-09,M,B,510000,四川省,101.6,,,101.4,,
Feb-09,M,B,210000,辽宁省,98.8,,,99.1,,
Feb-09,M,A,110000,北京市,98.9,98.9,,99.4,99.4,
Feb-09,M,B,460000,海南省,99.9,,,99.1,,
Feb-09,M,A,320000,江苏省,99.5,99.4,99.8,99.5,99.7,99
Feb-09,M,A,510000,四川省,100.6,99.8,101.6,100.4,99.9,100.9
Feb-09,M,A,230000,黑龙江省,99.4,99,100.5,98.9,98.7,99.6
Feb-09,M,A,220000,吉林省,99.3,98.9,100.6,98.7,98.2,100.6
Feb-09,M,B,500000,重庆市,98.4,,,98,,
Feb-09,M,B,320000,江苏省,100.4,,,100.3,,
Feb-09,M,A,520000,贵州省,98.2,97.3,100.2,97.9,96.7,99.6
Feb-09,M,B,120000,天津市,100.2,,,100.3,,
Feb-09,M,A,120000,天津市,99.2,99.2,,99.5,99.5,
Feb-09,M,B,450000,广西,98.2,,,98.7,,
Feb-09,M,A,210000,辽宁省,98.4,98.5,98.2,98.6,98.7,97.9
Feb-09,M,A,330000,浙江省,97,97.1,96.8,98,98.2,97.5
Feb-09,M,B,150000,内蒙古自治区,99.6,,,98.9,,
Feb-09,M,B,142,中国,99.7,99.4,100.3,99.5,99.4,99.8
Feb-09,M,B,440000,广东省,98.3,,,97.7,,
Feb-09,M,B,130000,河北省,99.7,,,99.6,,
Feb-09,M,A,130000,河北省,98.8,97.8,100.8,98.6,98,99.2
Feb-09,M,A,650000,新疆,99.4,99,100.3,98.4,98.2,98.9
Feb-09,M,B,640000,宁夏,101,,,101.1,,
Feb-09,M,B,410000,河南省,100.1,,,100.8,,
Feb-09,M,A,530000,云南省,99.7,99.8,99.4,99.8,99.6,100.1
Feb-09,M,B,360000,江西省,99.9,,,100.3,,
Feb-09,M,A,410000,河南省,99,97.9,100.8,99.8,99.9,99.7
Feb-09,M,A,540000,西藏自治区,100.6,100.3,101.2,98.9,98.7,99.4
Feb-09,M,A,420000,湖北省,99,98,100.3,98,97.2,99
Feb-09,M,B,350000,福建省,97.8,,,98.1,,
Feb-09,M,A,340000,安徽省,97,96.9,97.3,97.3,97.3,97.4
Feb-09,M,B,630000,青海省,102.9,,,103.1,,
Feb-09,M,B,650000,新疆,100.6,,,99.9,,
Feb-09,M,A,440000,广东省,95.9,95.9,96.2,95.6,95.5,95.8
Feb-09,M,A,450000,广西,96.2,96.2,96,97,97.1,95.9
Feb-09,M,B,140000,山西省,99.4,,,99.3,,
Feb-09,M,A,370000,山东省,99.9,99.6,100.3,99.4,99.3,99.4
Feb-09,M,B,340000,安徽省,98.8,,,99,,
Feb-09,M,B,430000,湖南省,100.5,,,99.3,,
Feb-09,M,A,430000,湖南省,98.8,98.6,99.3,97.8,97.2,98.5
Feb-09,M,B,610000,陕西省,100.3,,,100.1,,
Feb-09,M,A,610000,陕西省,99.5,98.6,101.6,99.5,99.4,99.8
Feb-09,M,B,520000,贵州省,99.4,,,99.1,,
Feb-09,M,A,360000,江西省,98.4,98.4,98.5,98.8,98.8,98.7
Feb-09,M,A,310000,上海市,99.8,99.8,,100.5,100.5,
Feb-09,M,A,150000,内蒙古自治区,99,99,99.1,98.3,97.7,99.4
Feb-09,M,A,620000,甘肃省,100.9,100.5,102,101.8,101.4,102.6
Feb-09,M,A,500000,重庆市,97,97,,96.7,96.7,
Feb-09,M,A,460000,海南省,97.4,97.5,97.1,96.8,97.7,94.6
Feb-09,M,B,620000,甘肃省,102.1,,,102.8,,
Feb-09,M,A,640000,宁夏,99.8,99.5,100.5,100.1,99.7,101.1
Feb-09,M,B,310000,上海市,100.8,,,101.2,,
Feb-09,M,A,350000,福建省,96.2,96.5,95.5,96.1,96.5,95.3
Feb-09,M,B,370000,山东省,100.6,,,100,,
Feb-09,M,B,540000,西藏自治区,100.5,,,98.9,,
Feb-09,M,B,330000,浙江省,98.1,,,99,,
Feb-09,M,A,630000,青海省,101.3,101.3,101.3,101.5,101.7,101.1
Mar-09,M,A,360000,江西省,98.5,98.6,98.3,98.6,98.7,98.2
Mar-09,M,B,140000,山西省,99,,,98.9,,
Mar-09,M,B,150000,内蒙古自治区,99.4,,,99,,
Mar-09,M,B,460000,海南省,99.6,,,98.7,,
Mar-09,M,B,510000,四川省,101.3,,,101,,
Mar-09,M,A,500000,重庆市,97.8,97.8,,96.9,96.9,
Mar-09,M,A,142,中国,98.8,98.6,99.3,98.5,98.4,98.7
Mar-09,M,B,130000,河北省,99.3,,,99.2,,
Mar-09,M,B,530000,云南省,100.2,,,100.3,,
Mar-09,M,B,230000,黑龙江省,99.3,,,98.5,,
Mar-09,M,B,320000,江苏省,100.2,,,99.8,,
Mar-09,M,A,320000,江苏省,99.6,99.6,99.7,99,99.2,98.6
Mar-09,M,B,500000,重庆市,98.2,,,97.7,,
Mar-09,M,A,520000,贵州省,98.3,97.5,99.9,97.4,96.5,98.7
Mar-09,M,B,210000,辽宁省,98.6,,,98.7,,
Mar-09,M,A,230000,黑龙江省,98.2,97.8,99.4,96.9,96.7,98.9
Mar-09,M,A,110000,北京市,99,99,,98.7,98.7,
Mar-09,M,B,350000,福建省,97.6,,,97.7,,
Mar-09,M,A,120000,天津市,98.9,98.9,,98.4,98.4,
